*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    8      2    0.607835       0.00562107      44.952          1.35806
    8      2    0.544151        0.0024409     39.7111          1.30417
    8      2    0.490452       0.00232026     34.6358            1.256
    8      2    0.426179         0.004614     29.7028          1.21617
    8      3    0.587544       0.00484967     47.3386          1.38339
    8      3    0.525306       0.00229164     40.8608           1.3157
    8      3    0.447289        0.0127313     34.6358            1.256
    8      3    0.385949       0.00191748     28.6225          1.20889
    9      2    0.648719       0.00462584      48.548          1.39625
    9      2    0.576755       0.00645496     42.6038          1.33346
    9      2    0.505887       0.00380105     36.8753          1.27647
    9      2    0.461713       0.00317259     31.3367          1.22819
    9      3    0.661137       0.00727667      49.155          1.40281
    9      3    0.588312       0.00327358     43.1882          1.33951
    9      3    0.527556       0.00203105     37.4391          1.28183
    9      3    0.461842       0.00529539      31.883          1.23248
   10      2    0.620668        0.0455655     41.6171          1.31694
   10      2     0.53641        0.0092663     35.3952            1.255
   10      2    0.464271       0.00168534     29.3977          1.20439
   10      2    0.384054       0.00469993     23.5599          1.17351
   10      3    0.585668       0.00593139     46.3046          1.36671
   10      3    0.511525        0.0911204     39.8956          1.29922
   10      3     0.43968        0.0197315     33.7393          1.23983
   10      3    0.383105        0.0025273     27.7935          1.19347
   11      2    0.426773       0.00424225     29.8652          1.21067
   11      2    0.356319        0.0044412     24.0034          1.17842
   11      2    0.280016        0.0024696     18.1821          1.18548
   11      2    0.212671       0.00964438     12.1048           1.3024
   11      3    0.499078       0.00413089     36.4488          1.26726
   11      3    0.427573        0.0327217      30.405          1.21468
   11      3    0.356105       0.00367858     24.5322          1.18023
   11      3    0.271558       0.00669416     18.7153          1.18212
