*telnum  csinum       CsI V        err_CsI V      energy  corrected_err_energy
    8      2    0.313285       0.00951179     47.7573            1.362
    8      2    0.277663       0.00926353     41.8176          1.30229
    8      2    0.245599       0.00200865     36.0928          1.24854
    8      2    0.213734       0.00428161     30.5547          1.20384
    8      3    0.289781       0.00957642     45.9516          1.34362
    8      3    0.254716       0.00070805     40.0786          1.28546
    8      3    0.226133       0.00196342     34.4134          1.23404
    8      3    0.192406       0.00106574     28.9235          1.19299
    9      2     0.33039       0.00132107     48.9751          1.37441
    9      2     0.28498        0.0132856     42.4042          1.30801
    9      2    0.239774       0.00213348     36.0958          1.24845
    9      2    0.204436       0.00127829     30.0132          1.19998
    9      3    0.331813       0.00225617     49.5863          1.38075
    9      3    0.296436        0.0128251     42.9903          1.31378
    9      3    0.255054       0.00157085     36.6592          1.25349
    9      3    0.218276       0.00220224     30.5582          1.20373
   10      2    0.304485       0.00243689     41.4148          1.29202
   10      2    0.261165        0.0015769     35.7326          1.23784
   10      2    0.225651      0.000981741     30.2401           1.1925
   10      2     0.19623       0.00128152     24.8912          1.16182
   10      3    0.296394        0.0101524     44.9271          1.32749
   10      3    0.263447       0.00190084     39.1172          1.26956
   10      3    0.226873       0.00181339     33.5149           1.2184
   10      3    0.193449      0.000880135     28.0868          1.17802
   11      2     0.21338       0.00954942     29.0894          1.18734
   11      2    0.174751         0.001911     23.7485          1.16183
   11      2    0.143626       0.00346326     18.4364          1.16919
   11      2    0.101434       0.00159189     12.9343          1.25996
   11      3    0.227963       0.00977479     32.3512          1.21132
   11      3    0.198377       0.00134428      27.477          1.17743
   11      3    0.171123       0.00686986     22.6882          1.15981
   11      3    0.130661       0.00592552     17.9003          1.17305
